21,21.32,21.64,21.96,22.28,22.6,22.92,23.24,23.56,23.88,24.2,24.52,24.84,25.16,25.48,25.8,26.12,26.44,26.76,27.08
21.24,21.56,21.88,22.2,22.52,22.84,23.16,23.48,23.8,24.12,24.44,24.76,25.08,25.4,25.72,26.04,26.36,26.68,27,27.32
21.48,21.8,22.12,22.44,22.76,23.08,23.4,23.72,24.04,24.36,24.68,25,25.32,25.64,25.96,26.28,26.6,26.92,27.24,27.56
21.72,22.04,22.36,22.68,23,23.32,23.64,23.96,24.28,24.6,24.92,25.24,25.56,25.88,26.2,26.52,26.84,27.16,27.48,27.8
21.96,22.28,22.6,22.92,23.24,23.56,23.88,24.2,24.52,24.84,25.16,25.48,25.8,26.12,26.44,26.76,27.08,27.4,27.72,28.04
22.2,22.52,22.84,23.16,23.48,23.8,24.12,24.44,24.76,25.08,25.4,25.72,26.04,26.36,26.68,27,27.32,27.64,27.96,28.28
22.44,22.76,23.08,23.4,23.72,24.04,24.36,24.68,25,25.32,25.64,25.96,26.28,26.6,26.92,27.24,27.56,27.88,28.2,28.52
22.68,23,23.32,23.64,23.96,24.28,24.6,24.92,25.24,25.56,25.88,26.2,26.52,26.84,27.16,27.48,27.8,28.12,28.44,28.76
22.92,23.24,23.56,23.88,24.2,24.52,24.84,25.16,25.48,25.8,26.12,26.44,26.76,27.08,27.4,27.72,28.04,28.36,28.68,29
23.16,23.48,23.8,24.12,24.44,24.76,25.08,25.4,25.72,26.04,26.36,26.68,27,27.32,27.64,27.96,28.28,28.6,28.92,29.24
23.4,23.72,24.04,24.36,24.68,25,25.32,25.64,25.96,26.28,26.6,26.92,27.24,27.56,27.88,28.2,28.52,28.84,29.16,29.48
23.64,23.96,24.28,24.6,24.92,25.24,25.56,25.88,26.2,26.52,26.84,27.16,27.48,27.8,28.12,28.44,28.76,29.08,29.4,29.72
23.88,24.2,24.52,24.84,25.16,25.48,25.8,26.12,26.44,26.76,27.08,27.4,27.72,28.04,28.36,28.68,29,29.32,29.64,29.96
24.12,24.44,24.76,25.08,25.4,25.72,26.04,26.36,26.68,27,27.32,27.64,27.96,28.28,28.6,28.92,29.24,29.56,29.88,30.2
